customer_id,customer_name,product_id_purchased,purchase_date_time,invoice_id
1,Becky Bush,145,2023-05-01 15:16:35,1
1,Becky Bush,114,2023-16-07 05:39:20,2
1,Becky Bush,126,2023-16-10 22:33:38,3
1,Becky Bush,196,2023-21-09 22:18:34,4
2,Maureen Ward,112,2023-02-09 17:20:49,5
2,Maureen Ward,83,2022-03-07 18:45:56,6
2,Maureen Ward,205,2023-11-12 08:13:32,7
2,Maureen Ward,185,2022-08-02 03:57:30,8
2,Maureen Ward,146,2023-15-03 15:54:45,9
2,Maureen Ward,178,2022-01-11 12:15:51,10
2,Maureen Ward,174,2023-19-03 05:02:41,11
2,Maureen Ward,158,2022-14-01 01:14:30,12
2,Maureen Ward,155,2023-09-09 22:41:56,13
3,Elizabeth Marshall,178,2023-09-06 00:55:35,14
3,Elizabeth Marshall,23,2023-24-03 22:45:02,15
3,Elizabeth Marshall,149,2023-19-11 05:47:20,16
3,Elizabeth Marshall,85,2023-30-10 15:54:57,17
3,Elizabeth Marshall,72,2022-18-04 17:58:37,18
3,Elizabeth Marshall,54,2023-19-03 06:26:58,19
3,Elizabeth Marshall,196,2022-11-04 00:41:18,20
3,Elizabeth Marshall,73,2023-22-07 13:44:04,21
3,Elizabeth Marshall,76,2022-23-08 20:45:51,22
4,Michelle Barnett,152,2022-14-01 03:08:27,23
4,Michelle Barnett,145,2022-25-05 12:56:45,24
4,Michelle Barnett,68,2022-13-01 22:44:47,25
4,Michelle Barnett,176,2022-27-12 14:28:28,26
4,Michelle Barnett,120,2022-26-12 10:22:16,27
4,Michelle Barnett,81,2022-08-12 05:30:55,28
5,Matthew Villa,69,2023-09-05 17:18:01,29
5,Matthew Villa,158,2023-15-02 11:17:37,30
5,Matthew Villa,132,2022-27-12 15:12:33,31
5,Matthew Villa,138,2023-08-09 12:37:19,32
5,Matthew Villa,116,2023-11-10 20:32:22,33
5,Matthew Villa,105,2023-31-03 16:46:39,34
5,Matthew Villa,104,2022-22-05 22:54:16,35
5,Matthew Villa,124,2023-08-02 08:18:23,36
5,Matthew Villa,162,2022-28-02 20:11:52,37
6,Jonathan Davis,92,2022-14-07 21:04:05,38
6,Jonathan Davis,33,2022-19-12 04:13:46,39
6,Jonathan Davis,142,2022-12-06 23:33:59,40
6,Jonathan Davis,8,2023-13-10 06:58:14,41
6,Jonathan Davis,77,2022-10-06 19:27:08,42
7,Chelsea Kelley,81,2022-01-02 20:01:32,43
7,Chelsea Kelley,209,2023-25-02 18:27:05,44
7,Chelsea Kelley,3,2022-21-06 03:23:28,45
8,Destiny Harrison,196,2023-18-07 07:58:41,46
8,Destiny Harrison,210,2022-09-08 03:45:28,47
8,Destiny Harrison,161,2023-26-05 14:43:00,48
9,Mark Oneill,134,2022-23-01 03:31:48,49
9,Mark Oneill,91,2022-22-08 19:21:31,50
