customer_id,customer_name,product_id_purchased,purchase_date_time,invoice_id
1,Shelby Wu,204,2022-08-11 04:07:57.542468,1
1,Shelby Wu,204,2023-08-21 19:19:39.148611,2
1,Shelby Wu,204,2022-07-19 05:18:39.838356,3
1,Shelby Wu,96,2022-04-02 00:57:37.799558,4
1,Shelby Wu,89,2023-11-16 17:48:28.991896,5
1,Shelby Wu,111,2023-09-30 18:34:46.848946,6
1,Shelby Wu,8,2022-12-03 19:14:31.289972,7
2,Monique Moss,31,2023-11-20 14:42:22.869492,8
2,Monique Moss,31,2022-01-21 21:47:04.570159,9
2,Monique Moss,31,2023-01-18 15:55:53.746706,10
2,Monique Moss,186,2023-05-06 20:21:07.490946,11
2,Monique Moss,207,2022-01-16 04:15:45.441959,12
2,Monique Moss,173,2022-12-15 14:55:13.418095,13
2,Monique Moss,70,2022-12-04 08:32:11.691224,14
2,Monique Moss,37,2023-11-28 15:15:59.126662,15
3,Patricia Lowe,129,2022-12-18 20:13:16.999251,16
3,Patricia Lowe,129,2023-01-30 13:22:07.591245,17
3,Patricia Lowe,27,2023-12-02 05:37:30.396170,18
3,Patricia Lowe,43,2023-02-25 12:37:36.096265,19
3,Patricia Lowe,122,2022-08-27 16:19:56.545255,20
3,Patricia Lowe,71,2022-12-17 09:29:06.389895,21
3,Patricia Lowe,190,2023-08-22 12:26:42.135150,22
4,John Watkins,2,2023-01-24 18:56:02.364602,23
4,John Watkins,57,2022-01-30 07:32:51.712460,24
4,John Watkins,83,2022-02-23 15:13:41.608582,25
4,John Watkins,161,2023-12-25 18:51:02.962807,26
4,John Watkins,174,2022-05-06 12:12:34.799014,27
4,John Watkins,185,2022-09-26 12:27:38.528229,28
4,John Watkins,181,2023-10-22 04:18:26.754914,29
4,John Watkins,58,2022-04-30 00:18:11.154233,30
5,Nicole Robertson,70,2023-04-05 08:29:15.330250,31
5,Nicole Robertson,135,2022-01-04 18:28:31.478415,32
5,Nicole Robertson,189,2022-07-08 18:10:44.268322,33
5,Nicole Robertson,72,2022-03-11 23:58:08.868451,34
5,Nicole Robertson,139,2022-02-19 12:26:52.159919,35
6,Karen Harris,28,2022-03-19 15:20:49.639557,36
6,Karen Harris,28,2022-12-17 13:33:01.866574,37
6,Karen Harris,81,2023-01-21 21:25:36.308397,38
6,Karen Harris,122,2022-07-15 07:38:58.377043,39
7,Eric Irwin,106,2022-12-12 10:01:08.586951,40
7,Eric Irwin,106,2023-01-11 12:51:38.606540,41
7,Eric Irwin,106,2022-03-26 14:32:26.883907,42
7,Eric Irwin,31,2023-04-23 01:44:19.774140,43
7,Eric Irwin,36,2022-03-28 06:52:15.739008,44
8,Nicole Nicholson,139,2022-12-12 04:48:26.628254,45
8,Nicole Nicholson,139,2022-12-08 17:24:46.901869,46
8,Nicole Nicholson,163,2022-11-26 14:44:08.464268,47
8,Nicole Nicholson,98,2022-10-17 12:41:49.104259,48
8,Nicole Nicholson,102,2022-02-17 15:11:38.936278,49
9,Elizabeth Robinson,130,2022-01-31 19:51:50.311698,50
9,Elizabeth Robinson,130,2023-02-14 05:02:59.175751,51
